table_id,staff_id,start_time,end_time,activity_type
15,AO,2021-08-18 18:39:47,2021-08-18 18:40:26,F
12,O,2021-08-18 18:40:14,2021-08-18 18:40:22,Cutlery
15,HM,2021-08-18 18:40:42,2021-08-18 18:41:30,S
12,AO,2021-08-18 18:41:02,2021-08-18 18:41:11,O
13,O,2021-08-18 18:42:18,2021-08-18 18:42:27,C
11,O,2021-08-18 18:42:29,2021-08-18 18:42:41,R
12,W,2021-08-18 18:43:17,2021-08-18 18:43:32,S
11,Q,2021-08-18 18:43:44,2021-08-18 18:43:50,S
17,BM,2021-08-18 18:44:21,2021-08-18 18:44:50,S
15,W,2021-08-18 18:44:40,2021-08-18 18:44:53,S
12,Q,2021-08-18 18:45:33,2021-08-18 18:45:42,S
17,Q,2021-08-18 18:45:57,2021-08-18 18:46:05,F
15,W,2021-08-18 18:46:16,2021-08-18 18:46:21,S
15,O,2021-08-18 18:47:39,2021-08-18 18:48:08,O
17,Q,2021-08-18 18:47:57,2021-08-18 18:48:34,S
15,O,2021-08-18 18:49:04,2021-08-18 18:49:17,S
11,O,2021-08-18 18:49:38,2021-08-18 18:50:54,O
15,A,2021-08-18 18:50:49,2021-08-18 18:50:59,S
17,O,2021-08-18 18:51:02,2021-08-18 18:51:08,R
13,AO,2021-08-18 18:52:05,2021-08-18 18:52:31,S
11,Q,2021-08-18 18:53:11,2021-08-18 18:53:35,S
13,AO,2021-08-18 18:53:24,2021-08-18 18:53:36,S
15,O,2021-08-18 18:54:18,2021-08-18 18:54:50,R-O
13,O,2021-08-18 18:54:56,2021-08-18 18:55:04,R
13,A,2021-08-18 18:55:26,2021-08-18 18:55:37,S
56,H,2021-08-18 20:07:53,2021-08-18 20:08:05,R
B1,W,2021-08-18 20:08:34,2021-08-18 20:08:37,S
51,H,2021-08-18 20:08:40,2021-08-18 20:08:42,S
54,H,2021-08-18 20:09:15,2021-08-18 20:09:21,B
53,Q,2021-08-18 20:09:34,2021-08-18 20:09:38,R
52,H,2021-08-18 20:10:03,2021-08-18 20:11:35,R
36,HM,2021-08-18 20:12:16,2021-08-18 20:12:29,S-R
34,H,2021-08-18 20:12:37,2021-08-18 20:12:45,S-R
36,HM,2021-08-18 20:12:47,2021-08-18 20:12:50,S
53,HM,2021-08-18 20:13:14,2021-08-18 20:13:32,S
34,H,2021-08-18 20:13:48,2021-08-18 20:15:20,F
56,H,2021-08-18 20:15:48,2021-08-18 20:16:03,R
B1,H,2021-08-18 20:16:13,2021-08-18 20:16:21,F
56,H,2021-08-18 20:16:31,2021-08-18 20:16:33,S
51,H,2021-08-18 20:16:36,2021-08-18 20:16:48,R
51,H,2021-08-18 20:17:08,2021-08-18 20:17:22,S
53,Q,2021-08-18 20:17:58,2021-08-18 20:18:03,S
52,H,2021-08-18 20:21:29,2021-08-18 20:22:15,F-R
51,HM,2021-08-18 20:22:36,2021-08-18 20:22:59,S
B2,H,2021-08-18 20:23:05,2021-08-18 20:23:52,P
54,AO,2021-08-18 20:23:28,2021-08-18 20:23:50,S
34,HM,2021-08-18 20:23:41,2021-08-18 20:24:05,C
54,H,2021-08-18 20:24:04,2021-08-18 20:24:06,S
54,H,2021-08-18 20:24:15,2021-08-18 20:24:18,Cutlery
54,H,2021-08-18 20:24:45,2021-08-18 20:24:54,W
55,H,2021-08-18 20:25:00,2021-08-18 20:25:30,R-F
B2,O,2021-08-18 20:25:40,2021-08-18 20:26:29,F
35,H,2021-08-18 20:26:34,2021-08-18 20:26:52,R
55,H,2021-08-18 20:28:21,2021-08-18 20:28:24,R
52,H,2021-08-18 20:28:49,2021-08-18 20:29:03,Cutlery
51,H,2021-08-18 20:29:15,2021-08-18 20:29:28,R
B1,H,2021-08-18 20:30:28,2021-08-18 20:30:35,C
56,H,2021-08-18 20:30:40,2021-08-18 20:31:44,O
52,H,2021-08-18 20:32:42,2021-08-18 20:32:44,R
52,H,2021-08-18 20:32:57,2021-08-18 20:33:00,W
55,H,2021-08-18 20:33:07,2021-08-18 20:33:30,O
35,H,2021-08-18 20:33:48,2021-08-18 20:34:25,F-R
56,HM,2021-08-18 20:34:58,2021-08-18 20:35:21,S
52,AO,2021-08-18 20:36:01,2021-08-18 20:37:21,S
52,O,2021-08-18 20:36:02,2021-08-18 20:36:11,S
52,H,2021-08-18 20:37:04,2021-08-18 20:37:23,F
35,H,2021-08-18 20:38:03,2021-08-18 20:38:07,R
54,H,2021-08-18 20:38:27,2021-08-18 20:38:42,C
35,O,2021-08-18 20:40:01,2021-08-18 20:40:10,F
55,HM,2021-08-18 20:40:19,2021-08-18 20:40:47,S
52,AO,2021-08-18 20:40:48,2021-08-18 20:41:29,F
53,H,2021-08-18 20:41:12,2021-08-18 20:41:55,F-R-O
53,H,2021-08-18 20:43:46,2021-08-18 20:43:51,R
54,H,2021-08-18 20:44:32,2021-08-18 20:45:18,C
51,H,2021-08-18 20:45:24,2021-08-18 20:45:54,R
53,HM,2021-08-18 20:47:52,2021-08-18 20:48:10,S
51,H,2021-08-18 20:48:51,2021-08-18 20:49:05,R
51,H,2021-08-18 20:50:15,2021-08-18 20:50:27,R
52,H,2021-08-18 20:51:00,2021-08-18 20:51:46,F-R
51,H,2021-08-18 20:52:56,2021-08-18 20:54:15,O
51,H,2021-08-18 20:55:41,2021-08-18 20:55:44,Cutlery
53,H,2021-08-18 20:55:47,2021-08-18 20:55:54,F
52,HM,2021-08-18 21:01:53,2021-08-18 21:02:20,S
34,HM,2021-08-18 21:02:57,2021-08-18 21:03:26,S
